hist_B_0,hist_B_1,hist_B_2,hist_B_3,hist_B_4,hist_B_5,hist_B_6,hist_B_7,hist_G_0,hist_G_1,hist_G_2,hist_G_3,hist_G_4,hist_G_5,hist_G_6,hist_G_7,hist_R_0,hist_R_1,hist_R_2,hist_R_3,hist_R_4,hist_R_5,hist_R_6,hist_R_7,label
0.0032099218,0.4840562,0.6539681,0.5806749,0.028568305,0.0023539427,0.00021399479,0.0,0.0076793623,0.6203218,0.70362157,0.34066504,0.062181503,0.011732359,0.0012798938,0.0,0.013799021,0.7243133,0.6882374,0.037158147,0.010822762,0.0033370182,0.0,0.0,diseased
0.025367942,0.464307,0.73535454,0.49293807,0.0064209313,0.00021052234,0.0,0.0,0.04206863,0.5935359,0.70835984,0.36299536,0.11091835,0.010154497,0.00022317575,0.0,0.04278744,0.64880484,0.7581198,0.04922856,0.007085232,0.001472256,9.2016e-05,0.0,diseased
0.016652962,0.4915276,0.70536435,0.51030195,0.013258728,0.0007424888,0.0,0.0,0.027090844,0.5261327,0.74944025,0.39133656,0.08576939,0.017000327,0.00021935906,0.0,0.03303507,0.6251748,0.77780056,0.051767245,0.019839497,0.0042447294,0.0,0.0,diseased
0.016329147,0.62718767,0.7718305,0.103170514,0.0015772472,0.0,0.0,0.0,0.036917932,0.7299815,0.67017245,0.12507288,0.03136563,0.0024352197,0.0,0.0,0.04091799,0.8417666,0.53800553,0.016983164,0.004047801,0.0,0.0,0.0,diseased
0.010072319,0.5100774,0.8379979,0.19355956,0.0033257657,0.0016153719,0.00019004375,0.0,0.020657396,0.6507535,0.75777155,0.004459086,0.005460105,0.0416788,0.00937318,0.0008190157,0.02789814,0.87408304,0.48386112,0.02164966,0.023409797,0.0066005066,0.004312331,8.800675e-05,diseased
0.017951775,0.4858875,0.6190118,0.6159838,0.03125339,0.0016221483,0.00010814322,0.0,0.030109826,0.6158728,0.70620227,0.33341396,0.09716761,0.021396726,0.0028676025,0.0,0.039460547,0.70886695,0.7000453,0.07266052,0.022196557,0.01071885,0.00018971416,0.0,diseased
0.010334485,0.48787382,0.6620529,0.56775075,0.034878887,0.0008612071,0.0,0.0,0.00913077,0.57162637,0.78333986,0.24191526,0.0313055,0.00591995,0.000702367,0.0,0.018166183,0.75209796,0.6580295,0.028418386,0.014209193,0.0025180848,0.0,0.0,diseased
0.01731291,0.49063548,0.76980615,0.4078839,0.0024732728,0.0003091591,0.0,0.0,0.028368669,0.6045228,0.78669983,0.11463258,0.041009128,0.005307064,0.00038596828,0.0,0.03264952,0.7793495,0.6248505,0.03264952,0.0064036357,0.001803841,0.0,0.0,diseased
0.019526402,0.44395742,0.64930654,0.616691,0.024568934,0.00311135,0.00064372754,0.0,0.014568332,0.5435028,0.7702485,0.33122143,0.036628947,0.0077004037,0.0010405951,0.0,0.024947986,0.7016058,0.711513,0.028730713,0.006844935,0.0019814286,0.0,0.0,diseased
0.025236465,0.42018715,0.7497333,0.51030236,0.017244918,0.000105151936,0.0,0.0,0.0058856523,0.5036722,0.82049984,0.26854536,0.030326074,0.0047883275,0.00069829775,0.0,0.01298735,0.7359202,0.67640966,0.026508426,0.0042698137,0.0013343168,0.0,0.0,diseased
